Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,James.A,2022.06.08 09:31:05 EDT,34344,VPN,0,1,172.23.175.182,10.128.20.89,UDP,1194,5399838432,
openvpn-server,Martha.A,2022.06.08 09:41:30 EDT,16277,VPN,0,1,172.19.183.109,10.128.20.199,UDP,1194,4225558031,
openvpn-server,Elizabeth.F,2022.06.08 09:57:58 EDT,,VPN,0,0,172.24.248.239,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Betty.W,2022.06.08 10:37:35 EDT,28656,VPN,0,1,172.24.96.88,10.128.20.27,UDP,1194,5030274240,
openvpn-server,Anthony.B,2022.06.08 11:11:21 EDT,19962,VPN,0,1,172.28.208.205,10.128.20.55,UDP,1194,5477313294,
openvpn-server,Ashley.H,2022.06.08 11:43:10 EDT,,VPN,0,0,172.28.213.131,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Diana.Z,2022.06.08 12:16:39 EDT,11980,VPN,0,1,172.23.110.245,10.128.20.100,UDP,1194,3275727340,
openvpn-server,John.A,2022.06.08 12:49:11 EDT,11185,VPN,0,1,172.24.237.108,10.128.20.164,UDP,1194,2415892890,
openvpn-server,George.Z,2022.06.08 13:28:11 EDT,3052,VPN,0,1,172.18.8.93,10.128.20.121,UDP,1194,412596828,
openvpn-server,Megan.A,2022.06.08 13:48:48 EDT,1138,VPN,0,1,172.24.37.136,10.128.20.153,UDP,1194,28303198,
openvpn-server,Megan.A,2022.06.08 14:09:03 EDT,,VPN,0,0,172.26.118.243,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Benjamin.D,2022.06.08 14:32:42 EDT,2873,VPN,0,1,172.16.91.169,10.128.20.219,UDP,1194,637234273,
openvpn-server,Megan.A,2022.06.08 15:11:36 EDT,2505,VPN,0,1,172.20.114.234,10.128.20.199,UDP,1194,688343940,
openvpn-server,Diana.Z,2022.06.08 15:37:52 EDT,7416,VPN,0,1,172.16.255.41,10.128.20.83,UDP,1194,1680384024,
openvpn-server,Theresa.T,2022.06.08 16:09:07 EDT,1686,VPN,0,1,172.29.47.64,10.128.20.104,UDP,1194,256270314,
openvpn-server,Randy.R,2022.06.08 16:41:50 EDT,,VPN,0,0,172.20.210.45,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Randy.R,2022.06.08 17:16:31 EDT,3888,VPN,0,1,172.29.62.193,10.128.20.115,UDP,1194,1074316608,
openvpn-server,Jacqueline.J,2022.06.08 17:30:25 EDT,4606,VPN,0,1,172.25.32.166,10.128.20.88,UDP,1194,640427452,
openvpn-server,Janet.F,2022.06.08 17:51:08 EDT,,VPN,0,0,172.21.74.206,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Virginia.J,2022.06.08 18:18:59 EDT,1456,VPN,0,1,172.29.29.57,10.128.20.204,UDP,1194,400418928,
openvpn-server,Randy.R,2022.06.08 18:40:35 EDT,1533,VPN,0,1,172.25.59.183,10.128.20.149,UDP,1194,357363762,
openvpn-server,Brian.U,2022.06.09 07:06:51 EDT,,VPN,0,0,172.20.56.232,,UDP,1194,,user not found
openvpn-server,Patricia.I,2022.06.09 07:23:31 EDT,1396,VPN,0,1,172.22.174.55,10.128.20.55,UDP,1194,88622268,
openvpn-server,Abigail.M,2022.06.09 07:52:17 EDT,16060,VPN,0,1,172.22.234.225,10.128.20.113,UDP,1194,3233375860,
openvpn-server,Diana.Z,2022.06.09 08:23:24 EDT,,VPN,0,0,172.23.48.137,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Diana.Z,2022.06.09 08:42:21 EDT,14312,VPN,0,1,172.28.238.112,10.128.20.84,UDP,1194,2725734712,
openvpn-server,Gerald.U,2022.06.09 08:56:23 EDT,26191,VPN,0,1,172.21.102.171,10.128.20.4,UDP,1194,6833729529,
openvpn-server,Janet.F,2022.06.09 09:32:31 EDT,1193,VPN,0,1,172.29.247.246,10.128.20.154,UDP,1194,36453308,
openvpn-server,Hannah.Q,2022.06.09 10:00:46 EDT,6402,VPN,0,1,172.24.105.31,10.128.20.167,UDP,1194,1397633424,
openvpn-server,Theresa.T,2022.06.09 10:36:18 EDT,13402,VPN,0,1,172.26.3.139,10.128.20.139,UDP,1194,418263018,
openvpn-server,Megan.A,2022.06.09 11:00:03 EDT,26714,VPN,0,1,172.24.215.64,10.128.20.129,UDP,1194,3877697384,
openvpn-server,Patrick.G,2022.06.09 11:20:50 EDT,,VPN,0,0,172.24.32.164,,UDP,1194,,user not found
openvpn-server,Norman.I,2022.06.09 12:03:23 EDT,19460,VPN,0,1,172.30.150.141,10.128.20.49,UDP,1194,1817291560,
openvpn-server,Hannah.Q,2022.06.09 12:34:18 EDT,4106,VPN,0,1,172.23.219.136,10.128.20.79,UDP,1194,661669582,
openvpn-server,Anthony.B,2022.06.09 12:57:23 EDT,8119,VPN,0,1,172.26.41.13,10.128.20.105,UDP,1194,547626550,
openvpn-server,John.A,2022.06.09 13:09:13 EDT,5603,VPN,0,1,172.19.177.209,10.128.20.241,UDP,1194,1248791037,
openvpn-server,Donna.L,2022.06.09 13:24:36 EDT,14416,VPN,0,1,172.27.211.206,10.128.20.92,UDP,1194,1653097136,
openvpn-server,Heather.N,2022.06.09 13:44:11 EDT,14085,VPN,0,1,172.16.123.155,10.128.20.172,UDP,1194,2707686315,
openvpn-server,Norman.I,2022.06.09 14:18:11 EDT,11696,VPN,0,1,172.25.132.231,10.128.20.58,UDP,1194,1634562784,
openvpn-server,Randy.R,2022.06.09 14:56:56 EDT,16648,VPN,0,1,172.29.100.31,10.128.20.221,UDP,1194,1784016328,
openvpn-server,Betty.W,2022.06.09 15:11:29 EDT,6949,VPN,0,1,172.28.10.206,10.128.20.10,UDP,1194,1599618106,
openvpn-server,Jacqueline.J,2022.06.09 15:26:37 EDT,8898,VPN,0,1,172.19.183.246,10.128.20.9,UDP,1194,171580134,
openvpn-server,Hannah.Q,2022.06.09 15:39:57 EDT,8757,VPN,0,1,172.27.219.236,10.128.20.208,UDP,1194,1804992840,
openvpn-server,Karen.M,2022.06.09 15:49:57 EDT,,VPN,0,0,172.17.18.79,,UDP,1194,,user not found
openvpn-server,James.A,2022.06.09 16:18:05 EDT,7943,VPN,0,1,172.24.6.124,10.128.20.8,UDP,1194,1342057223,
openvpn-server,Benjamin.D,2022.06.09 16:28:18 EDT,4329,VPN,0,1,172.21.254.32,10.128.20.167,UDP,1194,866774025,
openvpn-server,Ashley.H,2022.06.09 16:47:34 EDT,7288,VPN,0,1,172.25.201.47,10.128.20.197,UDP,1194,1179307720,
openvpn-server,Justin.H,2022.06.09 17:18:42 EDT,6582,VPN,0,1,172.19.107.246,10.128.20.73,UDP,1194,1211226222,
openvpn-server,Donna.L,2022.06.09 17:29:27 EDT,2756,VPN,0,1,172.29.161.213,10.128.20.30,UDP,1194,467880608,
openvpn-server,Janet.F,2022.06.09 17:49:51 EDT,1549,VPN,0,1,172.26.240.172,10.128.20.202,UDP,1194,13680768,
openvpn-server,Patricia.I,2022.06.09 18:06:40 EDT,4480,VPN,0,1,172.30.145.182,10.128.20.58,UDP,1194,979825280,
openvpn-server,Anna.Z,2022.06.09 18:44:40 EDT,,VPN,0,0,172.29.227.171,,UDP,1194,,user not found
openvpn-server,Thomas.M,2022.06.09 18:59:11 EDT,5665,VPN,0,1,172.28.107.205,10.128.20.168,UDP,1194,410825800,
openvpn-server,Betty.W,2022.06.10 07:02:56 EDT,17712,VPN,0,1,172.24.241.156,10.128.20.74,UDP,1194,3470701824,
openvpn-server,John.A,2022.06.10 07:21:41 EDT,24480,VPN,0,1,172.27.109.105,10.128.20.18,UDP,1194,4924127520,
openvpn-server,Abigail.M,2022.06.10 07:38:43 EDT,26383,VPN,0,1,172.18.166.148,10.128.20.166,UDP,1194,3136252742,
openvpn-server,James.A,2022.06.10 08:04:32 EDT,27185,VPN,0,1,172.26.141.30,10.128.20.112,UDP,1194,2557102655,
openvpn-server,Donna.L,2022.06.10 08:20:46 EDT,7536,VPN,0,1,172.16.90.185,10.128.20.58,UDP,1194,863467344,
openvpn-server,Diana.Z,2022.06.10 08:40:49 EDT,3391,VPN,0,1,172.23.107.98,10.128.20.40,UDP,1194,488860124,
openvpn-server,Jacqueline.J,2022.06.10 08:57:15 EDT,17382,VPN,0,1,172.24.124.219,10.128.20.250,UDP,1194,3672295140,
openvpn-server,Gerald.U,2022.06.10 09:18:03 EDT,17910,VPN,0,1,172.31.37.208,10.128.20.47,UDP,1194,3394267380,
openvpn-server,Ashley.H,2022.06.10 09:37:02 EDT,26603,VPN,0,1,172.27.190.128,10.128.20.161,UDP,1194,4047885877,
openvpn-server,Virginia.J,2022.06.10 09:47:59 EDT,30152,VPN,0,1,172.20.81.141,10.128.20.248,UDP,1194,1414400168,
openvpn-server,Martha.A,2022.06.10 10:15:10 EDT,18419,VPN,0,1,172.30.103.22,10.128.20.31,UDP,1194,2482973295,
openvpn-server,Heather.N,2022.06.10 10:50:02 EDT,14323,VPN,0,1,172.17.176.223,10.128.20.155,UDP,1194,2232798147,
openvpn-server,Hannah.Q,2022.06.10 11:17:02 EDT,9284,VPN,0,1,172.25.162.232,10.128.20.52,UDP,1194,2423690324,
openvpn-server,George.Z,2022.06.10 11:40:03 EDT,26661,VPN,0,1,172.26.191.116,10.128.20.231,UDP,1194,1789832913,
openvpn-server,Elizabeth.F,2022.06.10 12:07:57 EDT,10481,VPN,0,1,172.16.139.123,10.128.20.55,UDP,1194,2531633145,
openvpn-server,Anthony.B,2022.06.10 12:25:28 EDT,17013,VPN,0,1,172.28.58.66,10.128.20.2,UDP,1194,4596351171,
openvpn-server,Patricia.I,2022.06.10 12:51:45 EDT,18689,VPN,0,1,172.31.191.196,10.128.20.35,UDP,1194,1563671252,
openvpn-server,Danielle.F,2022.06.10 13:02:24 EDT,3807,VPN,0,1,172.31.145.253,10.128.20.39,UDP,1194,643333509,
openvpn-server,Diana.Z,2022.06.10 13:26:16 EDT,19908,VPN,0,1,172.29.120.213,10.128.20.22,UDP,1194,5025675060,
openvpn-server,Betty.W,2022.06.10 13:53:00 EDT,14892,VPN,0,1,172.26.151.237,10.128.20.127,UDP,1194,2531535756,
openvpn-server,Ashley.W,2022.06.10 14:07:23 EDT,,VPN,0,0,172.29.80.54,,UDP,1194,,user not found
openvpn-server,Gerald.U,2022.06.10 14:42:18 EDT,5343,VPN,0,1,172.24.147.219,10.128.20.233,UDP,1194,374357295,
openvpn-server,Theresa.T,2022.06.10 15:12:00 EDT,13503,VPN,0,1,172.23.112.31,10.128.20.123,UDP,1194,1867235349,
openvpn-server,Elizabeth.F,2022.06.10 15:39:06 EDT,5115,VPN,0,1,172.24.113.65,10.128.20.15,UDP,1194,1326027945,
openvpn-server,Abigail.M,2022.06.10 16:11:39 EDT,2934,VPN,0,1,172.18.233.152,10.128.20.87,UDP,1194,814003092,
openvpn-server,John.A,2022.06.10 16:27:53 EDT,834,VPN,0,1,172.25.66.151,10.128.20.223,UDP,1194,182380788,
openvpn-server,Martha.A,2022.06.10 16:45:31 EDT,5378,VPN,0,1,172.21.177.20,10.128.20.181,UDP,1194,722475142,
openvpn-server,Jacqueline.J,2022.06.10 17:04:07 EDT,1698,VPN,0,1,172.30.144.67,10.128.20.39,UDP,1194,290468370,
openvpn-server,James.A,2022.06.10 17:15:15 EDT,3305,VPN,0,1,172.16.174.250,10.128.20.60,UDP,1194,819058320,
openvpn-server,Hannah.Q,2022.06.10 17:52:28 EDT,4701,VPN,0,1,172.20.74.183,10.128.20.222,UDP,1194,1042653594,
openvpn-server,Justin.H,2022.06.10 18:08:02 EDT,,VPN,0,0,172.18.106.201,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Kelly.N,2022.06.10 18:31:54 EDT,,VPN,0,0,172.22.148.140,,UDP,1194,,user not found
openvpn-server,James.A,2022.06.10 18:55:46 EDT,2876,VPN,0,1,172.18.200.186,10.128.20.110,UDP,1194,777239000,
openvpn-server,Thomas.M,2022.06.11 07:10:42 EDT,18490,VPN,0,1,172.16.169.100,10.128.20.62,UDP,1194,533787810,
openvpn-server,Anthony.B,2022.06.11 07:38:01 EDT,10350,VPN,0,1,172.26.220.186,10.128.20.167,UDP,1194,548870850,
openvpn-server,Abigail.M,2022.06.11 07:57:09 EDT,4347,VPN,0,1,172.21.68.40,10.128.20.94,UDP,1194,600346782,
openvpn-server,Betty.W,2022.06.11 08:32:14 EDT,29641,VPN,0,1,172.22.213.242,10.128.20.165,UDP,1194,2711855090,
openvpn-server,Randy.R,2022.06.11 08:48:06 EDT,6639,VPN,0,1,172.17.252.5,10.128.20.16,UDP,1194,270459582,
openvpn-server,Justin.H,2022.06.11 09:15:20 EDT,9559,VPN,0,1,172.26.160.77,10.128.20.231,UDP,1194,1891487125,
openvpn-server,Ashley.H,2022.06.11 09:31:54 EDT,17894,VPN,0,1,172.24.75.59,10.128.20.235,UDP,1194,2303029376,
openvpn-server,Benjamin.D,2022.06.11 09:56:23 EDT,5076,VPN,0,1,172.26.246.60,10.128.20.171,UDP,1194,262119564,
openvpn-server,Jacqueline.J,2022.06.11 10:19:00 EDT,28977,VPN,0,1,172.25.172.136,10.128.20.222,UDP,1194,3693350466,
openvpn-server,Gerald.U,2022.06.11 10:58:16 EDT,8644,VPN,0,1,172.26.191.133,10.128.20.12,UDP,1194,2266811204,
openvpn-server,Anthony.B,2022.06.11 11:24:17 EDT,,VPN,0,0,172.25.40.251,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Patricia.I,2022.06.11 11:58:29 EDT,3363,VPN,0,1,172.24.177.89,10.128.20.149,UDP,1194,543460800,
openvpn-server,Justin.H,2022.06.11 12:16:29 EDT,5490,VPN,0,1,172.27.129.156,10.128.20.88,UDP,1194,1418182290,
openvpn-server,Megan.A,2022.06.11 12:56:21 EDT,8394,VPN,0,1,172.21.69.155,10.128.20.84,UDP,1194,1259897430,
openvpn-server,Thomas.M,2022.06.11 13:16:20 EDT,9804,VPN,0,1,172.18.108.240,10.128.20.87,UDP,1194,2351175672,
openvpn-server,George.Z,2022.06.11 13:31:50 EDT,12759,VPN,0,1,172.17.59.103,10.128.20.236,UDP,1194,972159246,
openvpn-server,Randy.R,2022.06.11 14:09:43 EDT,11917,VPN,0,1,172.26.98.207,10.128.20.9,UDP,1194,3129368449,
openvpn-server,Martha.A,2022.06.11 14:33:26 EDT,17208,VPN,0,1,172.18.68.123,10.128.20.46,UDP,1194,153306072,
openvpn-server,Patricia.I,2022.06.11 15:01:14 EDT,4863,VPN,0,1,172.24.34.153,10.128.20.12,UDP,1194,1066888707,
openvpn-server,Gerald.U,2022.06.11 15:12:42 EDT,,VPN,0,0,172.27.120.237,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Diana.Z,2022.06.11 15:38:30 EDT,13199,VPN,0,1,172.16.140.64,10.128.20.244,UDP,1194,606388458,
openvpn-server,Ashley.H,2022.06.11 16:08:31 EDT,5076,VPN,0,1,172.29.149.184,10.128.20.200,UDP,1194,1069746696,
openvpn-server,Heather.N,2022.06.11 16:24:22 EDT,7168,VPN,0,1,172.28.156.93,10.128.20.225,UDP,1194,460070912,
openvpn-server,Patricia.I,2022.06.11 16:48:42 EDT,5352,VPN,0,1,172.27.139.80,10.128.20.110,UDP,1194,367623528,
openvpn-server,Janet.F,2022.06.11 17:04:53 EDT,893,VPN,0,1,172.16.0.137,10.128.20.17,UDP,1194,157378748,
